Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,67,15,-64.68,3,5,1,9,🔄 Moyen
12347.0,3,2,1323.32,5,2,4,11,⭐ Fidèle
12348.0,74,1,222.16,2,1,1,4,⚠️ À réactiver
12349.0,43,4,2646.9900000000002,3,3,5,11,⭐ Fidèle
12351.0,11,1,300.93,5,1,2,8,🔄 Moyen
12352.0,11,2,343.8,5,2,2,9,🔄 Moyen
12353.0,44,1,317.76,3,1,2,6,⚠️ À réactiver
12355.0,203,1,488.21,1,1,3,5,⚠️ À réactiver
12356.0,16,3,3562.25,4,3,5,12,⭐ Fidèle
12357.0,24,2,12079.99,4,2,5,11,⭐ Fidèle
12358.0,11,3,2719.01,5,3,5,13,🏆 VIP
12359.0,61,8,2469.36,3,5,5,13,🏆 VIP
12360.0,15,6,1550.83,5,4,4,13,🏆 VIP
12361.0,98,3,321.35,2,3,2,7,🔄 Moyen
12362.0,374,1,130.0,1,1,1,3,⚠️ À réactiver
12366.0,269,1,500.24,1,1,3,5,⚠️ À réactiver
12368.0,264,1,917.7,1,1,3,5,⚠️ À réactiver
12369.0,49,3,1791.1499999999999,3,3,4,10,⭐ Fidèle
12370.0,260,3,774.62,1,3,3,7,🔄 Moyen
12371.0,45,3,2179.42,3,3,5,11,⭐ Fidèle
12373.0,260,2,763.05,1,2,3,6,⚠️ À réactiver
12374.0,57,3,2246.29,3,3,5,11,⭐ Fidèle
12376.0,25,2,503.15,4,2,3,9,🔄 Moyen
12377.0,17,2,1798.2,4,2,4,10,⭐ Fidèle
12378.0,198,1,1407.7,1,1,4,6,⚠️ À réactiver
12379.0,58,2,767.98,3,2,3,8,🔄 Moyen
12380.0,17,10,5167.44,4,5,5,14,🏆 VIP
12382.0,318,1,-18.38,1,1,1,3,⚠️ À réactiver
12385.0,15,2,1923.4,5,2,4,11,⭐ Fidèle
12386.0,2,1,258.90000000000003,5,1,2,8,🔄 Moyen
12387.0,51,1,143.94,3,1,1,5,⚠️ À réactiver
12388.0,81,2,1120.45,2,2,4,8,🔄 Moyen
12389.0,38,3,1433.33,3,3,4,10,⭐ Fidèle
12391.0,100,6,2286.93,2,4,5,11,⭐ Fidèle
12392.0,227,1,234.75,1,1,2,4,⚠️ À réactiver
12393.0,18,3,794.15,4,3,3,10,⭐ Fidèle
12395.0,7,4,2048.64,5,3,4,12,⭐ Fidèle
12396.0,310,1,931.43,1,1,3,5,⚠️ À réactiver
12399.0,21,3,853.65,4,3,3,10,⭐ Fidèle
12400.0,50,1,205.25,3,1,1,5,⚠️ À réactiver
12402.0,28,6,1018.55,4,4,4,12,⭐ Fidèle
12403.0,157,1,591.6600000000001,2,1,3,6,⚠️ À réactiver
12404.0,318,1,63.24,1,1,1,3,⚠️ À réactiver
12406.0,24,4,2791.46,4,3,5,12,⭐ Fidèle
12408.0,15,5,1437.07,5,4,4,13,🏆 VIP
12409.0,56,6,12033.54,3,4,5,12,⭐ Fidèle
12410.0,138,1,320.38,2,1,2,5,⚠️ À réactiver
12411.0,45,1,346.9,3,1,2,6,⚠️ À réactiver
12412.0,38,5,1354.15,3,4,4,11,⭐ Fidèle
12413.0,38,1,241.35,3,1,2,6,⚠️ À réactiver
12414.0,99,5,130.0,2,4,1,7,🔄 Moyen
12415.0,11,7,19543.84,5,4,5,14,🏆 VIP
12416.0,292,1,202.56,1,1,1,3,⚠️ À réactiver
12417.0,37,15,3129.41,3,5,5,13,🏆 VIP
12418.0,49,4,1348.37,3,3,4,10,⭐ Fidèle
12419.0,21,2,503.01,4,2,3,9,🔄 Moyen
12421.0,51,3,286.56,3,3,2,8,🔄 Moyen
12422.0,30,18,3315.79,4,5,5,14,🏆 VIP
12423.0,23,2,763.08,4,2,3,9,🔄 Moyen
12424.0,58,5,1528.82,3,4,4,11,⭐ Fidèle
12425.0,66,2,903.61,3,2,3,8,🔄 Moyen
12426.0,282,2,728.68,1,2,3,6,⚠️ À réactiver
12427.0,7,1,303.5,5,1,2,8,🔄 Moyen
12429.0,1,6,3685.11,5,4,5,14,🏆 VIP
12431.0,9,16,4303.02,5,5,5,15,🏆 VIP
12433.0,2,6,7052.99,5,4,5,14,🏆 VIP
12434.0,17,1,297.29,4,1,2,7,🔄 Moyen
12435.0,32,4,6096.04,4,3,5,12,⭐ Fidèle
12437.0,29,28,7498.19,4,5,5,14,🏆 VIP
12439.0,318,3,1104.48,1,3,4,8,🔄 Moyen
12440.0,93,3,768.15,2,3,3,8,🔄 Moyen
12441.0,2,1,173.55,5,1,1,7,🔄 Moyen
12443.0,368,1,485.31,1,1,3,5,⚠️ À réactiver
12445.0,36,2,293.08,3,2,2,7,🔄 Moyen
12449.0,46,2,768.6,3,2,3,8,🔄 Moyen
12450.0,35,5,469.07,4,4,2,10,⭐ Fidèle
12451.0,99,4,3613.0099999999998,2,3,5,10,⭐ Fidèle
12454.0,31,7,4292.71,4,4,5,13,🏆 VIP
12455.0,81,4,3413.09,2,3,5,10,⭐ Fidèle
12457.0,53,2,554.53,3,2,3,8,🔄 Moyen
12458.0,63,2,830.09,3,2,3,8,🔄 Moyen
12459.0,241,1,454.36,1,1,2,4,⚠️ À réactiver
12460.0,92,1,326.65,2,1,2,5,⚠️ À réactiver
12466.0,318,1,56.73,1,1,1,3,⚠️ À réactiver
12467.0,22,2,0.0,4,2,1,7,🔄 Moyen
12468.0,66,7,2900.5099999999998,3,4,5,12,⭐ Fidèle
12469.0,158,2,3070.54,2,2,5,9,🔄 Moyen
12470.0,325,1,211.95,1,1,1,3,⚠️ À réactiver
12471.0,8,81,19207.69,5,5,5,15,🏆 VIP
12472.0,5,26,10727.21,5,5,5,15,🏆 VIP
12474.0,4,25,4849.98,5,5,5,15,🏆 VIP
12475.0,45,1,426.26,3,1,2,6,⚠️ À réactiver
12476.0,10,18,7169.04,5,5,5,15,🏆 VIP
12477.0,35,3,7056.63,4,3,5,12,⭐ Fidèle
12480.0,35,4,2153.47,4,3,5,12,⭐ Fidèle
12481.0,1,8,6626.17,5,5,5,15,🏆 VIP
12482.0,85,32,21893.53,2,5,5,12,⭐ Fidèle
12483.0,14,14,2519.74,5,5,5,15,🏆 VIP
12484.0,113,8,1808.58,2,5,4,11,⭐ Fidèle
12485.0,165,1,708.1,2,1,3,6,⚠️ À réactiver
12486.0,67,1,1037.28,3,1,4,8,🔄 Moyen
12487.0,366,2,259.8,1,2,2,5,⚠️ À réactiver
12490.0,14,12,4400.71,5,5,5,15,🏆 VIP
12492.0,39,1,452.0,3,1,2,6,⚠️ À réactiver
12494.0,1,5,604.17,5,4,3,12,⭐ Fidèle
12495.0,270,2,323.4,1,2,2,5,⚠️ À réactiver
12496.0,256,2,54.09,1,2,1,4,⚠️ À réactiver
12497.0,36,3,5168.65,3,3,5,11,⭐ Fidèle
12499.0,196,1,393.72,1,1,2,4,⚠️ À réactiver
12500.0,71,12,1666.04,2,5,4,11,⭐ Fidèle
12503.0,220,1,1126.0,1,1,4,6,⚠️ À réactiver
12504.0,53,2,297.0,3,2,2,7,🔄 Moyen
12505.0,29,2,912.5,4,2,3,9,🔄 Moyen
12507.0,220,1,539.25,1,1,3,5,⚠️ À réactiver
12510.0,95,14,2706.76,2,5,5,12,⭐ Fidèle
12511.0,50,2,3065.77,3,2,5,10,⭐ Fidèle
12514.0,277,1,580.08,1,1,3,5,⚠️ À réactiver
